date,closing price
2021-03-29,325.73
2021-03-30,332.01
2021-03-31,327
2021-04-01,327.64
2021-04-05,323.54
2021-04-06,327.06
2021-04-07,326.55
2021-04-08,331.14
2021-04-09,330.81
2021-04-12,331.84
2021-04-13,327.68
2021-04-14,335.35
2021-04-15,338.55
2021-04-16,342.31
2021-04-19,343.09
2021-04-20,331.88
2021-04-21,335.27
2021-04-22,330.85
2021-04-23,339.35
2021-04-26,343.52
2021-04-27,346.63
2021-04-28,348.11
2021-04-29,352.97
2021-04-30,348.45
2021-05-03,350.16
2021-05-04,349.84
2021-05-05,357.62
2021-05-06,365.97
2021-05-07,370.89
2021-05-10,368.68
2021-05-11,359.92
2021-05-12,354.4
2021-05-13,358.81
2021-05-14,368.77
2021-05-17,369.25
2021-05-18,364.56
2021-05-19,358.38
2021-05-20,359.78
2021-05-21,366.26
2021-05-24,368.29
2021-05-25,364.51
2021-05-26,367.4
2021-05-27,371.37
2021-05-28,372.02
2021-06-01,382.44
2021-06-02,383.44
2021-06-03,388.72
2021-06-04,391.45
2021-06-07,388.16
2021-06-08,384.7
2021-06-09,382.78
2021-06-10,373.94
2021-06-11,378.05
2021-06-14,372.92
2021-06-15,371.3
2021-06-16,371
2021-06-17,361.5
2021-06-18,348.83
2021-06-21,357.54
2021-06-22,357.53
2021-06-23,361.05
2021-06-24,368.75
2021-06-25,368.77
2021-06-28,368.71
2021-06-29,372.62
2021-06-30,379.53
2021-07-01,374.99
2021-07-02,374.16
2021-07-06,369.86
2021-07-07,367.67
2021-07-08,358.94
2021-07-09,371.76
2021-07-12,380.5
2021-07-13,375.98
2021-07-14,374.4
2021-07-15,373.35
2021-07-16,364.8
2021-07-19,354.72
2021-07-20,364.76
2021-07-21,373.5
2021-07-22,372.71
2021-07-23,374.05
2021-07-26,375.9
2021-07-27,374.84
2021-07-28,374.23
2021-07-29,377.55
2021-07-30,374.88
2021-08-02,378.19
2021-08-03,380.36
2021-08-04,377.86
2021-08-05,384.3
2021-08-06,397.89
2021-08-09,399.88
2021-08-10,407.97
2021-08-11,413.89
2021-08-12,415
2021-08-13,410.78
2021-08-16,408.35
2021-08-17,404.97
2021-08-18,398.8
2021-08-19,393.57
2021-08-20,395.87
2021-08-23,401.45
2021-08-24,408.56
2021-08-25,413.12
2021-08-26,412.41
2021-08-27,419.69
2021-08-30,413.6
2021-08-31,413.51
2021-09-01,413.66
2021-09-02,414.5
2021-09-03,411.31
2021-09-07,410.32
2021-09-08,405
2021-09-09,404.58
2021-09-10,403.48
2021-09-13,409.26
2021-09-14,403.69
2021-09-15,401.95
2021-09-16,396.68
2021-09-17,391.46
2021-09-20,378.13
2021-09-21,375.84
2021-09-22,385.47
2021-09-23,391.86
2021-09-24,390.85
2021-09-27,399.81
2021-09-28,389.5
2021-09-29,384.89
2021-09-30,378.03
2021-10-01,380
2021-10-04,374.15
2021-10-05,385.81
2021-10-06,388.05
2021-10-07,390.62
2021-10-08,392.81
2021-10-11,385.24
2021-10-12,386.53
2021-10-13,386.31
2021-10-14,391.2
2021-10-15,406.07
2021-10-18,413.69
2021-10-19,412.16
2021-10-20,407.89
2021-10-21,407.59
2021-10-22,414.32
2021-10-25,414.75
2021-10-26,417.61
2021-10-27,410.99
2021-10-28,414.82
2021-10-29,413.35
2021-11-01,416.7
2021-11-02,423.85
2021-11-03,417.9
2021-11-04,408.07
2021-11-05,407.08
2021-11-08,408.34
2021-11-09,405.35
2021-11-10,399.12
2021-11-11,402.34
2021-11-12,404.91
2021-11-15,404.81
2021-11-16,403.09
2021-11-17,391.55
2021-11-18,391.37
2021-11-19,387.39
2021-11-22,396.16
2021-11-23,406.34
2021-11-24,399.19
2021-11-26,389.39
2021-11-29,386.54
2021-11-30,380.99
2021-12-01,376.48
2021-12-02,387.54
2021-12-03,382.73
2021-12-06,389.3
2021-12-07,400.11
2021-12-08,397.32
2021-12-09,396.49
2021-12-10,391.06
2021-12-13,384.64
2021-12-14,388.82
2021-12-15,389.91
2021-12-16,397.37
2021-12-17,381.8
2021-12-20,371.61
2021-12-21,380.32
2021-12-22,382.33
2021-12-23,385.04
2021-12-27,388.04
2021-12-28,387.61
2021-12-29,386.2
2021-12-30,385.52
2021-12-31,382.55
2022-01-03,395.33
2022-01-04,407.48
2022-01-05,398.63
2022-01-06,396.93
2022-01-07,397.51
2022-01-10,399.17
2022-01-11,403.05
2022-01-12,390.31
2022-01-13,390.8
2022-01-14,380.94
2022-01-18,354.4
2022-01-19,347.32
2022-01-20,348.1
2022-01-21,343.91
2022-01-24,343.39
2022-01-25,341.55
2022-01-26,342.68
2022-01-27,341.03
2022-01-28,347.01
2022-01-31,354.68
2022-02-01,364.06
2022-02-02,363.06
2022-02-03,358.88
2022-02-04,367.6
2022-02-07,368.15
2022-02-08,370.1
2022-02-09,374.53
2022-02-10,370.57
2022-02-11,363.06
2022-02-14,360.24
2022-02-15,363.94
2022-02-16,360.05
2022-02-17,349.06
2022-02-18,346.04
2022-02-22,344.27
2022-02-23,341.19
2022-02-24,340.19
2022-02-25,350.12
2022-02-28,341.29
2022-03-01,328.2
2022-03-02,336.38
2022-03-03,333.42
2022-03-04,329.67
2022-03-07,321.89
2022-03-08,321.37
2022-03-09,333.59
2022-03-10,329.9
2022-03-11,327
2022-03-14,324.98
2022-03-15,329.16
2022-03-16,340.76
2022-03-17,343.27
2022-03-18,345.38
2022-03-21,339
2022-03-22,343.01
2022-03-23,335.61
2022-03-24,336.23
2022-03-25,337.49
